Ville,Titre,Lien,Description,Prix_de_vente,Localisation,Prix_m2,Surface_m2,type,Pieces,Chambres,Garage,Balcon,Ascenseur,Terrain_m2,DPE
paris-75,Appartement - 3 pièce(s) - 75 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287237597A1KIVHAP000,"Particulier vend à paris 3è proche du conservatoire des arts-et-métiers, très beau 3 pièces de 75m² clair, calme et ensoleillé, sur rue et cour dans un immeuble ancien rénové au 5è étage sans ascenseur. entrée, couloir, séjour, 2 chambres, grande...",850000.0,Paris 3  (75003),11333.0,75.0,Appartement,3,2,0,1,0,,D
paris-75,Hôtel Particulier - 15 + pièce(s) - 593 m²,https://www.paruvendu.fr/immobilier/prestige/hotel-particulier/1286175488A1KIVHHP000,Paris 17 eme  boulevard pereire  immeuble indÉpendant À usage professionnel / bureaux de prestige  592 m² avec jardin et toit-terrasse. franck aubret  optimhome prestige paris & atlantique vous propose d'acquérir ce bien d'exception situé...,10500000.0,Paris 17  (75017),17707.0,593.0,Hôtel Particulier,,,0,0,0,,C
paris-75,Appartement - 2 pièce(s) - 30 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287019983A1KIVHAP000,"Dans un quartier avec tous commerces et services, proche nation et reuilly diderot (rer, métros et bus), particulier propose à la vente, un appartement meublé au 4eme étage sans ascenseur d une petite copropriété très calme avec une pièce à vivre...",290000.0,Paris 12  (75012),9667.0,30.0,Appartement,2,,0,0,0,,G
paris-75,Maison - 5 pièce(s) - 240 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286016410A1KIVHMN000,"Un appartement comme une maison, caché dans un écrin de verdure nichée au calme, à l'abri des regards, cette adresse confidentielle du 12e arrondissement abrite un bien rare : un appartement en duplex avec jardin privatif, qui se vit comme une...",1990000.0,Paris 12  (75012),8292.0,240.0,Maison,5,4,0,0,0,122.0,E
paris-75,Appartement - 2 pièce(s) - 39 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287207853A1KIVHAP000,"Idéalement situé au c?ur du quartier recherché de jules joffrin, à seulement 3 minutes à pied du métro, cet appartement de 39 m² a fait l'objet d'une rénovation complète par architecte avec des matériaux nobles. situé au 1er étage sans...",500000.0,Paris 18  (75018),12821.0,39.0,Appartement,2,2,0,0,0,,D
paris-75,Maison - 2 pièce(s) - 41 m²,https://www.paruvendu.fr/immobilier/vente/maison/1281629352A1KIVHMN000,"Iad france stephane crosnier vous propose: comme un air de campagne en plein coeur du 18e ! niché à l'abri des regards, ce véritable havre de paix de 41 m² pondérés (27 m2 carrez) vous séduira par son calme absolu, sa lumière naturelle et son...",415000.0,Paris 18  (75018),10122.0,41.0,Maison,2,1,0,0,0,,E
paris-75,Appartement - 2 pièce(s) - 31 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287019651A1KIVHAP000,"Vente appartement. vilette t1bis petit immeuble récent. proche parc des buttes chaumont et canal saint martin métro et bus ligne 2 petite copropriété sur 3 niveaux sur cour, au calme et soleil le matin toiture, parties communes et privatives récentes...",252000.0,Paris 19  (75019),8129.0,31.0,Appartement,2,,0,0,0,,
paris-75,Maison - 11 pièce(s) - 321 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1287213051A1KIVHMN000,"Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 19063 pure place par homki a le plaisir de vous proposer cette extraordinaire maison de famille à proximité immédiate...",2995000.0,Paris 17  (75017),9330.0,321.0,Maison,11,4,0,0,0,,E
paris-75,Appartement - 2/3 pièce(s) - 51 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287054786A1KIVHAP000,"Appartement à vendre. 2/3 pièces immeuble récent avec terrasse au calme. parc des buttes chaumont et canal saint martin à 200m métro et bus ligne 2 petite copropriété récente sur 3 niveaux prestations grand standing, nouvelles normes hpe et bbc double vitrage,...",489000.0,Paris 19  (75019),9588.0,51.0,Appartement,3,,0,1,0,,
paris-75,Maison - 3 pièce(s) - 88 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1285220427A1KIVHMN000,Iad france renaud vicente vous propose: venez découvrir le calme absolu et l'intimité de cet appartement type 'maison de ville' situé en arrière-cour qui développe tout son charme autour d'une magnifique terrasse de 40m² refaite en 2024. il se...,1090000.0,Paris 14  (75014),12386.0,88.0,Maison,3,2,0,0,0,,D
paris-75,Appartement - 2/3 pièce(s) - 37 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287206695A1KIVHAP000,"Vente appartement. Canal st martin 2 pièces immeuble récent. frais de notaire inclus jusqu'au 31/12/2025 proche parc des buttes chaumont et canal saint martin métro et bus ligne 2 petite copropriété sur 3 niveaux toiture, parties communes et privatives récentes...",272000.0,Paris 19  (75019),7351.0,37.0,Appartement,3,,0,0,0,,
paris-75,Maison - 4 pièce(s) - 87 m²,https://www.paruvendu.fr/immobilier/maison-neuve/1282115722A1KIVHMN000,"Magnifique maison en plein coeur de paris à l'abri des regards beau jardin de 47 m2 et terrasse de 18 m2. proches des commodités et des commerces. séjour et cuisine de 29 m2, ouvrant sur la terrasse et le jardin exposé sud/ouest. 4 chambres avec...",1275000.0,Paris 20  (75020),14655.0,87.0,Maison,4,3,0,0,0,,
paris-75,Appartement - 3 pièce(s) - 61 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287207308A1KIVHAP000,"Mairie du 15ème , au pied du métro vaugirard, dans immeuble bourgeois avec ascenseur, donnant sur le square adolphe chérioux, sécurisé, ascenseur, gardien , bel appartement situé au 6ème étage, comprenant entrée, cuisine, séjour double de 31 m2...",730000.0,Paris 15  (75015),11967.0,61.0,Appartement,3,1,0,0,0,,D
paris-75,Maison - 5 pièce(s) - 150 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286825134A1KIVHMN000,"Entre la rue de menilmontant et jourdain, donnant sur une petite rue tres calme et sur cour, un maison en r+2, exposée sud et ouest, composée de trois niveaux de 50 m². au rdc : grand salon et cuisine dinatoire, cheminée et poutres apparentes....",1000000.0,Paris 20  (75020),6667.0,150.0,Maison,5,4,0,0,0,,E
paris-75,Appartement - 2/3 pièce(s) - 41 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287207243A1KIVHAP000,"Proche canal saint martin et parc des buttes chaumont métro et bus à 50m petite copropriété sur 3 niveaux dernier étage toiture, parties communes et privatives récentes prestations grand standing, nouvelles normes hpe et bbc nécessaires pour...",323000.0,Paris 19  (75019),7878.0,41.0,Appartement,3,,0,0,0,,
paris-75,Maison - 10 pièce(s) - 328 m²,https://www.paruvendu.fr/immobilier/vente/maison/1283395124A1KIVHMN000,Ref: fl-1338 maison de caractÈre À 1h de la gare du nord maison 328 m2 + secteur idÉal + hypercentre + 6 chambres + bureaux + cave + jardin + possibilitÉ profession libÉrale + proximitÉ de la gare l'agence abithéa vous propose une sublime...,480000.0,Paris 1  (75001),1463.0,328.0,Maison,10,6,0,0,0,,F
paris-75,Appartement - 1 pièce(s) - 14 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287202749A1KIVHAP000,"Dans bel immeuble pierres de taille parfaitement entretenu, sur cour plein sud, beau studio ensoleillé de 13,58 m2 carrez (14,05 m2 au sol, + mezzanine), meublé et équipé, refait en 2021, comprenant une pièce principale avec mezzanine de couchage...",175000.0,Paris 9  (75009),12500.0,14.0,Appartement,1,,0,0,0,,E
paris-75,Maison - 6 pièce(s) - 200 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286211079A1KIVHMN000,"Paris xix stalingrad maison cheminÉe terrasse possibilitÉ 5 chambres calme et lumineuse efficity, l'agence qui estime votre bien en ligne, vous propose cette maison en fond de copropriété d'une surface de 194m² en loi carrez. situé...",1450000.0,Paris 18  (75018),7250.0,200.0,Maison,6,3,0,0,0,,D
paris-75,Appartement - 3/4 pièce(s) - 82 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287202460A1KIVHAP000,"Achat appartement. Buttes chaumont récent dernier étage 3 pièces avec terrasse. a 100 m du parc des buttes chaumont sur le plateau secteur alouettes proche métro, bus et commerces toiture, parties communes et privatives récentes nouvelles normes hpe et bbc...",780000.0,Paris 19  (75019),9512.0,82.0,Appartement,4,,0,1,0,,
