Ville,Titre,Lien,Description,Prix,Localisation,Détails
paris-75,Appartement - 2 pièce(s) - 31 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287019651A1KIVHAP000,"Vente appartement.
vilette t1bis petit immeuble récent. proche parc des buttes chaumont et canal saint martin
métro et bus ligne 2
petite copropriété sur 3 niveaux
sur cour, au calme et soleil le matin
toiture, parties communes et privatives récentes...",252 000 €*8 129 € / m2,Paris 19  (75019),2 pièces
paris-75,Hôtel Particulier - 15 + pièce(s) - 593 m²,https://www.paruvendu.fr/immobilier/prestige/hotel-particulier/1286175488A1KIVHHP000,Paris 17 eme  boulevard pereire  immeuble indÉpendant À usage professionnel / bureaux de prestige  592 m² avec jardin et toit-terrasse.    franck aubret  optimhome prestige paris & atlantique vous propose d'acquérir ce bien d'exception situé...,10 500 000 €17 707 € / m2,Paris 17  (75017),"15 + pièces, DPE :C147kWh/m².an11kg CO2/m².an"
paris-75,Appartement - 2/3 pièce(s) - 51 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287054786A1KIVHAP000,"Vente appartement.
2/3 pièces immeuble récent avec terrasse au calme. parc des buttes chaumont et canal saint martin à 200m
métro et bus ligne 2
petite copropriété récente sur 3 niveaux
prestations grand standing,
nouvelles normes hpe et bbc
double vitrage,...",489 000 €*9 588 € / m2,Paris 19  (75019),"2/3 pièces, Balcon"
paris-75,Maison - 5 pièce(s) - 240 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286016410A1KIVHMN000,"Un appartement comme une maison, caché dans un écrin de verdure nichée au calme, à l'abri des regards, cette adresse confidentielle du 12e arrondissement abrite un bien rare : un appartement en duplex avec jardin privatif, qui se vit comme une...",1 990 000 €8 292 € / m2,Paris 12  (75012),"5 pièces, 4
chambres, Terrain 122 m2, DPE :E258kWh/m².an53kg CO2/m².an"
paris-75,Appartement - 2/3 pièce(s) - 37 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287206695A1KIVHAP000,"Appartement à vendre.
Canal st martin 2 pièces immeuble récent. frais de notaire inclus jusqu'au 31/12/2025
proche parc des buttes chaumont et canal saint martin
métro et bus ligne 2
petite copropriété sur 3 niveaux
toiture, parties communes et privatives récentes...",272 000 €*7 351 € / m2,Paris 19  (75019),2/3 pièces
paris-75,Maison - 2 pièce(s) - 20 m²,https://www.paruvendu.fr/immobilier/vente/maison/1287178081A1KIVHMN000,"Appel d'offre en vente éclaire une semaine pour vous décider, faites un achat immédiat pour cette tiny house mise à prix à 305000 prix de réserve à 265000 et passez noël à paris!    maison tout en une, rénovée par un professionnel et un...",300 000 €15 000 € / m2,,"2 pièces, 1
chambre, DPE :E350kWh/m².an30kg CO2/m².an"
paris-75,Appartement - 3 pièce(s) - 61 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287207308A1KIVHAP000,"Mairie du 15ème , au pied du métro vaugirard, dans immeuble bourgeois avec ascenseur, donnant sur le square adolphe chérioux, sécurisé, ascenseur, gardien , bel appartement situé au 6ème étage, comprenant entrée, cuisine, séjour double de 31 m2...",730 000 €*11 967 € / m2,,"3 pièces, 1
chambre, DPE :D"
paris-75,Maison - 4 pièce(s) - 87 m²,https://www.paruvendu.fr/immobilier/maison-neuve/1282115722A1KIVHMN000,"Magnifique  maison en plein coeur de paris à l'abri des regards beau jardin de 47 m2 et terrasse de 18 m2. proches des commodités et des commerces. séjour et cuisine de 29 m2, ouvrant sur la terrasse et le jardin exposé sud/ouest. 4 chambres avec...",1 275 000 €14 655 € / m2,,"4 pièces, 3
chambres"
paris-75,Appartement - 2/3 pièce(s) - 41 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287207243A1KIVHAP000,"Proche canal saint martin et parc des buttes chaumont
métro et bus à 50m
petite copropriété sur 3 niveaux
dernier étage
toiture, parties communes et privatives récentes
prestations grand standing,
nouvelles normes hpe et bbc nécessaires pour...",323 000 €*7 878 € / m2,,2/3 pièces
paris-75,Maison - 5 pièce(s) - 150 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286825134A1KIVHMN000,"Entre la rue de menilmontant et jourdain, donnant sur une petite rue tres calme et sur cour, un maison en r+2, exposée sud et ouest, composée de trois niveaux de 50 m².  au rdc : grand salon et cuisine dinatoire, cheminée et poutres apparentes....",1 000 000 €6 667 € / m2,,"5 pièces, 4
chambres, DPE :E310kWh/m².an64kg CO2/m².an"
